,chat
1,그렇대
2,지누
4,허엉
6,외워야
7,되는구나
8,그냥
10,땡큐
11,땡큐
13,암기
14,과목인거네
16,오빠
17,화이팅
19,고마워
20,서영
21,빡공할게
22,지누얌
23,오늘
24,점심시간
25,언제
28,오늘
29,학교옴
30,야쓰야쓰
31,시부터
32,언제까지
33,나랑
34,먹짜
35,지누야
36,원래
37,누구랑
38,머거
41,다음
42,세시
43,수업
44,원래
45,아는
46,형이랑
47,먹기로
48,했는데
49,담에
50,먹기로
52,점심
54,어예
55,진서는
57,시이려나
58,오빠
59,근데
60,오빠
61,집쪽도
63,댈곳
64,없지
66,레미안
67,알지
68,응응응
69,아파트
70,단지
71,검사
72,안해
74,개꿀팁이다
75,하루
76,정도는
77,괜찮을거야
79,조아조아
80,거기다
81,대야겠당
84,시반
85,시쯤
86,도착할
88,같은뎅
89,갠차노
91,굳굳
92,복숩하고
93,있을게
95,서영
96,한시
98,넘어서
99,보자
101,빨래
102,예약해놔서
103,그거
104,널고
105,갈게
106,엉엉
107,오빠
109,먹고
110,싶어
111,근데
112,복습
113,피씨방이
114,아니고
116,진우
119,요새
120,공부만
124,먹고
125,싶은
127,먹자
128,흐흐흐흐
130,회기
131,도착쓰
133,오빠
134,후문쪽이
135,편하지
136,카빙당
137,갈까
138,카빙당이
140,파는데야
142,오빠
143,어뜨케
144,카빙당을
145,모를
147,있어
148,카페를
149,빙자한
150,식당
153,거기
154,가자
156,빨래
158,남아쓰
167,근데
168,여기
169,후문도
171,마니
172,생겼다
175,셀프
176,마라탕
177,맞아
178,맨날
179,지나가면서
182,어디야
183,서영
184,오빠
186,로기넹
189,서울
190,특별시
191,동대문구
192,이문로
195,문동
197,여기래
198,오빠
199,집은
200,오댜
202,맨끝에
203,산쪽
205,레미안
206,근처야
208,이제
209,나옴
210,거기로
211,갈게
212,그로묜
213,카빙당으로
214,와랏
216,아니면
218,맛있는
220,있나
221,나는
222,설캠
224,잃었다
225,카빙당
226,가자
229,너보다
231,모를걸
239,꿀닭은
240,가봤어
241,거긴
242,우리
243,신입생
245,가봤지
247,거기
248,한번도
249,안가봤는데
250,마자
252,란이
254,맨날
255,말햌다
256,한번도
257,안가봤다고
260,후문
262,언와쓰
265,토마토
266,도시락이야
267,그럼
268,커피
269,베이
270,쪽으로
271,내려와
272,카빙당은
273,여긴데
274,오빠
282,얼른
286,갈게
287,지누
290,지금
291,일어났어
301,싐싐햇서
302,오빠
303,담에
305,잡고
306,술먹자
307,프라자
308,대첩
309,어게
310,인이야
312,당연하지
313,그땐
315,몰래
316,안버린다
317,대놓고
318,버려야지
328,웃겨
329,지누
330,술버리면
331,선배한테
332,호온나요
334,지누지
335,누지
336,누지
337,누지
338,누우우우야
339,생일
340,진짜
341,진짜
342,축하해
347,생일
348,기념으로
349,노잼
350,진우
351,탈출하쟈
352,돌아와
357,공부만
358,하긴
361,노잼은
363,됐어
365,고마워
366,서영
369,지누야
370,축제
372,뭐해
373,공연
374,봐야지
376,근데
377,수욜날
378,회계
380,시험이라
381,설캠
383,서영
388,우리
389,화요일에
390,모일라
391,했는데
392,근데
393,사실
394,회계는
395,미리미리하면
396,돼서
397,괜찮음
400,동기들
404,방금
405,변경됨
407,시험
428,대박
429,언제로
430,일로
431,애들이
432,제발
433,바꿔달라
434,해서
