,chat
0,리마인
2,좋아
3,보인다
4,우와
5,아아
6,거의
8,샵검색
9,리마인
11,불을
12,발견한
13,인류급
14,오오
15,아이폰러
16,리마인더에
17,아무것도
18,없어서
20,자주
21,마시기
22,등록함
24,빇비
26,오늘
27,유민언니한테
28,삼성카메라
29,빅스비
30,모드
31,알려주니까
32,전기를
33,처음
34,활용한
35,인류
36,같앗음
39,유민
40,누나
41,생각만
42,해도
43,귀엽따
46,뭔가
47,기능의
48,대부분을
49,모르고
50,폰을
55,그래서
56,한심하게
57,봐주엇지
58,갸웋기넼
60,으아아아
62,나는
63,전원키가
64,망가져서
66,데이터를
67,이동을
68,못하냐
69,컴퓨터로
70,가능하지
71,않냐
72,옛날
73,핸드폰이
74,컴퓨터에
75,연결하면
76,안되나
77,유심을
78,빼는
79,바람에
80,아하
81,베터리
82,분리로
83,사망하심
84,베터리를
85,걷어
86,내야
87,유심을
88,뽑을
90,있음
92,카톡
93,날라가면
94,마이
95,슬픈데
97,일단
98,동기화라도
99,해야
100,하는
102,아니냐
104,일에
105,일단
106,해야지
110,폰으로
111,하는
113,너무
114,한정되어
115,있엌
116,용훈아
118,생일
119,축하해
123,감사합네다
124,페북
125,이제서야
126,들어갓는데
127,심미단이
129,언급
130,엄청
131,했엇네
134,이제
135,살아난갸
137,아니
138,아니
139,그냥
140,페북
141,같은
143,아이디
144,하면
145,되니까
146,상관없는데
147,카톡은
148,내용
149,저장
150,안하고
151,번호로
152,다른
153,기계로
154,들어가면
155,처음으로
156,리셋돼
158,맙아
159,그거
160,짜증나
161,아니
162,이용훈
164,타임라인
165,공개범뉘
166,설저
168,놓은
170,개웃곀
171,서영아
172,오늘
173,아점
174,순대국
178,매순대국
179,없어진다구
180,하지
181,않앗어
184,맞아
187,미또
190,용훈아
191,생일
192,축하한당
195,서영아
197,너가
198,수강신청하는데가
199,어디라고
201,거기
202,지금
203,원래
204,하던
205,곳은
206,공사중이고
207,이번엔
208,그냥
209,정문에서
